Time:1000Hz,Epoch,Channel 1,Channel 2,Event Id,Event Date,Event Duration
0,0,-30655.55,8475.74,,,
0.001,1,-30664.18,8469.89,,,
0.002,2,-30673.13,8463.32,,,
0.003,3,-30681.9,8456.29,,,
0.004,4,-30688.85,8450.35,,,
0.005,5,-30691.65,8447.98,,,
0.006,6,-30688.31,8451.49,,,
0.007,7,-30678.24,8461.85,,,
0.008,8,-30662.81,8477.99,,,
0.009,9,-30645.1,8496.91,,,
0.01,10,-30628.93,8514.61,,,
0.011,11,-30617.63,8527.37,,,
0.012,12,-30613.02,8532.79,,,
0.013,13,-30615.15,8530.32,,,
0.014,14,-30622.63,8521.04,,,
0.015,15,-30633.39,8507.02,,,
0.016,16,-30645.38,8490.67,,,
0.017,17,-30656.9,8474.23,,,
0.018,18,-30666.6,8459.76,,,
0.019,19,-30673.23,8449.13,,,
0.02,20,-30675.55,8444.02,,,
0.021,21,-30672.53,8445.6,,,
0.022,22,-30663.84,8454.07,,,
0.023,23,-30650.27,8468.33,,,
0.024,24,-30633.85,8485.98,,,
0.025,25,-30617.47,8503.77,,,
0.026,26,-30604.08,8518.56,,,
0.027,27,-30595.84,8528.06,,,
0.028,28,-30593.63,8531.4,,,
0.029,29,-30597.01,8529.02,,,
0.03,30,-30604.73,8522.12,,,
0.031,31,-30615.38,8512.03,,,
0.032,32,-30627.83,8499.82,,,
0.033,33,-30641.34,8486.29,,,
0.034,34,-30655.12,8472.42,,,
0.035,35,-30667.98,8459.77,,,
0.036,36,-30678.05,8450.49,,,
0.037,37,-30683.11,8446.92,,,
0.038,38,-30681.3,8450.63,,,
0.039,39,-30671.96,8461.66,,,
0.04,40,-30656.18,8478.13,,,
0.041,41,-30636.7,8496.61,,,
0.042,42,-30617.23,8513.21,,,
0.043,43,-30601.32,8524.83,,,
0.044,44,-30591.39,8530.03,,,
0.045,45,-30588.22,8529.26,,,
0.046,46,-30591.11,8524.27,,,
0.047,47,-30598.59,8517.02,,,
0.048,48,-30609.17,8508.83,,,
0.049,49,-30621.88,8499.95,,,
0.05,50,-30636.19,8490,,,
0.051,51,-30651.52,8478.75,,,
0.052,52,-30666.59,8466.93,,,
0.053,53,-30679.15,8456.58,,,
0.054,54,-30686.25,8450.56,,,
0.055,55,-30685.18,8451.52,,,
0.056,56,-30674.57,8460.74,,,
0.057,57,-30655.29,8477.34,,,
0.058,58,-30630.6,8498.26,,,
0.059,59,-30605.45,8519.09,,,
0.06,60,-30585.07,8535.34,,,
0.061,61,-30573.53,8543.72,,,
0.062,62,-30572.53,8542.94,,,
0.063,63,-30581.22,8533.86,,,
0.064,64,-30596.72,8518.94,,,
0.065,65,-30615.3,8501.36,,,
0.066,66,-30633.53,8484.09,,,
0.067,67,-30649.12,8469.3,,,
0.068,68,-30661.01,8458.15,,,
0.069,69,-30669.05,8450.94,,,
0.07,70,-30673.36,8447.49,,,
0.071,71,-30673.9,8447.51,,,
0.072,72,-30670.42,8450.79,,,
0.073,73,-30662.79,8457.23,,,
0.074,74,-30651.48,8466.67,,,
0.075,75,-30637.85,8478.55,,,
0.076,76,-30624.09,8491.73,,,
0.077,77,-30612.75,8504.32,,,
0.078,78,-30606.04,8513.98,,,
0.079,79,-30605.19,8518.35,,,
0.08,80,-30610.15,8515.77,,,
0.081,81,-30619.69,8505.87,,,
0.082,82,-30631.81,8489.93,,,
0.083,83,-30644.33,8470.69,,,
0.084,84,-30655.4,8451.73,,,
0.085,85,-30663.74,8436.52,,,
0.086,86,-30668.69,8427.5,,,
0.087,87,-30670.1,8425.55,,,
0.088,88,-30668.08,8430.01,,,
0.089,89,-30662.92,8439.18,,,
0.09,90,-30655.03,8451.05,,,
0.091,91,-30644.98,8463.95,,,
0.092,92,-30633.64,8476.73,,,
0.093,93,-30622.24,8488.63,,,
0.094,94,-30612.38,8498.84,,,
0.095,95,-30605.81,8506.23,,,
0.096,96,-30604.16,8509.38,,,
0.097,97,-30608.42,8507.03,,,
0.098,98,-30618.58,8498.77,,,
0.099,99,-30633.39,8485.47,,,
0.1,100,-30650.47,8469.38,,,
0.101,101,-30666.8,8453.6,,,
0.102,102,-30679.44,8441.24,,,
0.103,103,-30686.29,8434.56,,,
0.104,104,-30686.56,8434.42,,,
0.105,105,-30680.81,8440.28,,,
0.106,106,-30670.62,8450.61,,,
0.107,107,-30658.02,8463.45,,,
0.108,108,-30644.94,8476.92,,,
0.109,109,-30632.96,8489.38,,,
0.11,110,-30623.33,8499.4,,,
0.111,111,-30617.11,8505.68,,,
0.112,112,-30615.23,8507.14,,,
0.113,113,-30618.27,8503.17,,,
0.114,114,-30626.08,8494,,,
0.115,115,-30637.46,8480.9,,,
0.116,116,-30650.15,8466.02,,,
0.117,117,-30661.34,8451.91,,,
0.118,118,-30668.62,8440.82,,,
0.119,119,-30670.85,8434.15,,,
0.12,120,-30668.59,8432.27,,,
0.121,121,-30663.83,8434.73,,,
0.122,122,-30659.03,8440.75,,,
0.123,123,-30655.92,8449.64,,,
0.124,124,-30654.66,8460.89,,,
0.125,125,-30653.86,8474,,,
0.126,126,-30651.35,8488.08,,,
0.127,127,-30645.48,8501.63,,,
0.128,128,-30636.23,8512.64,,,
0.129,129,-30625.51,8519.1,,,
0.13,130,-30616.51,8519.67,,,
0.131,131,-30612.45,8514.2,,,
0.132,132,-30615.16,8503.81,,,
0.133,133,-30624.29,8490.6,,,
0.134,134,-30637.45,8476.97,,,
0.135,135,-30651.11,8465.06,,,
0.136,136,-30661.83,8456.39,,,
0.137,137,-30667.29,8451.85,,,
0.138,138,-30666.69,8451.94,,,
0.139,139,-30660.55,8456.85,,,
0.14,140,-30650.19,8466.42,,,
0.141,141,-30637.16,8479.87,,,
0.142,142,-30623.11,8495.58,,,
0.143,143,-30609.7,8511.06,,,
0.144,144,-30598.78,8523.47,,,
0.145,145,-30592.18,8530.24,,,
0.146,146,-30591.4,8529.86,,,
0.147,147,-30597.02,8522.36,,,
0.148,148,-30608.41,8509.17,,,
0.149,149,-30623.66,8492.67,,,
0.15,150,-30640.13,8475.52,,,
0.151,151,-30655.06,8460.06,,,
0.152,152,-30666.28,8448.09,,,
0.153,153,-30672.5,8440.93,,,
0.154,154,-30673.29,8439.51,,,
0.155,155,-30668.87,8444.37,,,
0.156,156,-30659.82,8455.41,,,
0.157,157,-30647.14,8471.51,,,
0.158,158,-30632.32,8490.43,,,
0.159,159,-30617.44,8508.98,,,
0.16,160,-30604.99,8523.77,,,
0.161,161,-30597.39,8532.13,,,
0.162,162,-30596.28,8532.83,,,
0.163,163,-30601.93,8526.41,,,
0.164,164,-30613.13,8514.8,,,
0.165,165,-30627.54,8500.53,,,
0.166,166,-30642.45,8485.97,,,
0.167,167,-30655.56,8472.81,,,
0.168,168,-30665.41,8462.05,,,
0.169,169,-30671.38,8454.36,,,
0.17,170,-30673.34,8450.36,,,
0.171,171,-30671.25,8450.79,,,
